formatted_work_date,cts_urn,author,title
-0199-01/-0100-12,tlg0527.tlg050,Bible,Baruch
-0199-01/-0100-12,tlg0527.tlg051,Bible,Threni seu Lamentationes
-0199-01/-0100-12,tlg0527.tlg052,Bible,Epistula Jeremiae
-0199-01/-0100-12,tlg0527.tlg053,Bible,Ezechiel
-0199-01/-0100-12,tlg0527.tlg055,Bible,Susanna
-0199-01/-0100-12,tlg0527.tlg057,Bible,Daniel
-0199-01/-0100-12,tlg0527.tlg059,Bible,Bel et Draco
-0199-01/-0149-12,tlg0527.tlg048,Bible,Isaias
-0167-01/-0117-12,tlg0543.tlg001,Polybius,Histories
-0149-01/-0100-12,tlg0035.tlg001,Moschus,Eros Drapeta
-0149-01/-0100-12,tlg0035.tlg003,Moschus,Epitaphius Bios
-0149-01/-0100-12,tlg0035.tlg004,Moschus,Megara
-0149-01/-0100-12,tlg0035.tlg005,Moschus,Fragmenta
-0149-01/-0149-12,tlg0035.tlg002,Moschus,Europa
-0145-01/-0125-12,tlg1431.tlg003,Hipparchus,In Arati et Eudoxi phaenomena commentariorum libri iii
-0134-01/+0200-12,tlg1272.tlg001,Cleomedes,De motu circulari corporum caelestium
-0129-01/-0066-12,tlg0044.tlg001,Antiochus Epistolographus,Epistulae
-0124-01/-0074-12,tlg0036.tlg001,Bion of Phlossa,Epitaphius Adonis
-0124-01/-0074-12,tlg0036.tlg002,Bion of Phlossa,Epithalamium Achillis et Deidameiae
-0124-01/-0074-12,tlg0036.tlg003,Bion of Phlossa,Fragmenta
-0099-01/+0000-12,tlg0655.tlg001,Parthenius of Nicaea,Narrationes Amatoriae
-0099-01/+0001-12,tlg0361.tlg001,Cleonides,Introductio Harmonica
-0099-01/+0001-12,tlg0556.tlg001,Asclepiodotus,Tactica
-0099-01/+0001-12,tlg1765.tlg003,Vitae Aesopi,Vita Aesopi Pl vel Accursiana (sub auctore Maximo Planude) (recensio 1)
-0099-01/+0001-12,tlg1765.tlg004,Vitae Aesopi,Vita Aesopi (fort. auctore Aphthonio)
-0099-01/+0001-12,tlg1765.tlg005,Vitae Aesopi,Βιβλίον μυθικὸν τοῦ Αἰσώπου
-0099-01/-0029-12,tlg1220.tlg001,Batrachomyomachia,Batrachomyomachia
-0099-01/-0074-12,tlg0527.tlg032,Bible,Job
-0099-01/-0099-12,tlg0068.tlg001,Pseudo-Scymnus,"Ad Nicomedem regem, vv. 1-980"
-0089-01/-0034-12,tlg1383.tlg001,Geminus,Elementa astronomia
