formatted_work_date,cts_urn,author,title
+0001-01/+0100-12,tlg0041.tlg001,Chionis Epistulae,Epistulae
+0001-01/+0100-12,tlg0607.tlg001,Aelius Theon,Προγυμνάσματα
+0001-01/+0100-12,tlg0643.opp003,Anonymus Londinensis,Iatrica Fragmenta Reliqua
+0001-01/+0100-12,tlg0643.tlg001,Anonymus Londinensis,Iatrica
+0001-01/+0100-12,tlg0643.tlg002,Anonymus Londinensis,Anonymus Londinensis Fragmenta
+0001-01/+0100-12,tlg1271.tlg003,Clemens Romanus (Clement of Rome),Epistula Petri ad Jacobum [Sp.]
+0001-01/+0100-12,tlg1271.tlg004,Clemens Romanus (Clement of Rome),Contestatio [Sp.]
+0001-01/+0100-12,tlg1271.tlg005,Clemens Romanus (Clement of Rome),Epistula Clementis ad Jacobum [Sp.]
+0001-01/+0100-12,tlg1271.tlg006,Clemens Romanus (Clement of Rome),Homiliae [Sp.]
+0001-01/+0100-12,tlg1271.tlg010,Clemens Romanus (Clement of Rome),Epistulae de virginitate [Sp.]
+0001-01/+0100-12,tlg1271.tlg011,Clemens Romanus (Clement of Rome),Pseudo‑Clementina (epitome altera auctore Symeone Metaphrasta) [Sp.]
+0001-01/+0100-12,tlg1271.tlg012,Clemens Romanus (Clement of Rome),Pseudo‑Clementina (epitome de gestis Petri praemetaphrastica) [Sp.]
+0001-01/+0100-12,tlg1414.tlg001,Heraclitus,Allegoriae (= Quaestiones Homericae)
+0001-01/+0200-12,tlg1482.tlg001,Cyranides,Cyranides
+0001-01/+0200-12,tlg2948.tlg001,Acta Philippi,Acta Philippi
+0001-01/+0400-12,ggm0001.ggm001,Anonymous,Anametresis Pontou
+0001-01/+0400-12,tlg0092.tlg001,Anonymi Geographiae Expositio Compendiaria,Geographiae expositio compendiaria
+0001-01/+0400-12,tlg2029.tlg001,Anonymi summaria ratio geographiae in sphaera intelligendae,Anonymi summaria ratio geographiae in sphaera intelligendae
+0010-01/+0035-12,tlg0018.tlg003,Philo Judaeus,De Cherubim
+0010-01/+0035-12,tlg0018.tlg004,Philo Judaeus,De Sacrificiis Abelis Et Caini
+0010-01/+0035-12,tlg0018.tlg005,Philo Judaeus,Quod Deterius Potiori Insidiari Soleat
+0010-01/+0035-12,tlg0018.tlg006,Philo Judaeus,De Posteritate Caini
+0010-01/+0035-12,tlg0018.tlg007,Philo Judaeus,De Gigantibus
+0010-01/+0035-12,tlg0018.tlg008,Philo Judaeus,Quod Deus Sit Immutabilis
+0010-01/+0035-12,tlg0018.tlg009,Philo Judaeus,De Agricultura
+0010-01/+0035-12,tlg0018.tlg011,Philo Judaeus,De Ebrietate
+0010-01/+0035-12,tlg0018.tlg012,Philo Judaeus,De Sobrietate
+0010-01/+0035-12,tlg0018.tlg013,Philo Judaeus,De Confusione Linguarum
+0010-01/+0035-12,tlg0018.tlg015,Philo Judaeus,Quis Rerum Divinarum Heres Sit
+0010-01/+0035-12,tlg0018.tlg016,Philo Judaeus,De Congressu Eruditionis Gratia
+0010-01/+0035-12,tlg0018.tlg018,Philo Judaeus,De Mutatione Nominum
+0010-01/+0035-12,tlg0018.tlg019,Philo Judaeus,De Somniis (lib. i-ii)
+0010-01/+0035-12,tlg0018.tlg002,Philo Judaeus,Legum Allegoriarum Libri I-III
+0010-01/+0035-12,tlg0018.tlg010,Philo Judaeus,De Plantatione
+0010-01/+0035-12,tlg0018.tlg014,Philo Judaeus,De Migratione Abrahami
+0010-10/+0035-12,tlg0018.tlg017,Philo Judaeus,De Fuga Et Inventione
+0018-01/+0024-12,tlg0099.tlg001,Strabo,Geography
+0018-01/+0024-12,tlg0099.tlg004,Strabo,Geographiae Chrestomathia
+0030-01/+0101-12,tlg0628.tlg001,Musonius Rufus,Dissertationum a Lucio digestarum reliquiae
+0030-01/+0102-12,tlg0628.tlg002,Musonius Rufus,Fragmenta minora_Minor Fragments
+0030-01/+0102-12,tlg0628.tlg003,Musonius Rufus,Epistulae spuriae_Spurious Letters
+0037-01/+0100-12,tlg0526.tlg001,Flavius Josephus,Jewish Antiquities
+0037-01/+0100-12,tlg0526.tlg002,Flavius Josephus,Life of Josephus
+0037-01/+0100-12,tlg0526.tlg003,Flavius Josephus,Against Apion
+0037-01/+0100-12,tlg0526.tlg004,Flavius Josephus,The Jewish War
+0040-01/+0049-12,tlg0018.tlg001,Philo Judaeus,De Opificio Mundi
+0040-01/+0049-12,tlg0018.tlg020,Philo Judaeus,De Abrahamo
+0040-01/+0049-12,tlg0018.tlg021,Philo Judaeus,De Josepho
+0040-01/+0049-12,tlg0018.tlg022,Philo Judaeus,De Vita Mosis (Lib. I-II)
+0040-01/+0049-12,tlg0018.tlg023,Philo Judaeus,De Decalogo
+0040-01/+0049-12,tlg0018.tlg025,Philo Judaeus,De Virtutibus
+0040-01/+0049-12,tlg0018.tlg026,Philo Judaeus,De Praemiis Et Poenis Et De Exsecrationibus
+0040-01/+0049-12,tlg0018.tlg027,Philo Judaeus,Quod Omnis Probus Liber Sit
+0040-01/+0049-12,tlg0018.tlg028,Philo Judaeus,De Vita Contemplativa
+0040-01/+0049-12,tlg0018.tlg030,Philo Judaeus,In Flaccum
+0040-01/+0049-12,tlg0018.tlg031,Philo Judaeus,Legatio Ad Gaium
+0040-01/+0115-12,tlg0612.tlg001,Dio Chrysostom,Orationes
+0040-01/+0049-12,tlg0018.tlg024,Philo Judaeus,De Specialibus Legibus (lib. i‑iv)
+0040-01/+0049-12,tlg0018.tlg029,Philo Judaeus,De Aeternitate Mundi
+0048-01/+0048-12,tlg0031.tlg009,Bible,Epistula Pauli ad Galatas
+0050-01/+0070-12,tlg0656.tlg001,Dioscurides Pedianus,De materia medica
+0050-01/+0100-12,tlg0719.tlg001,Aretaeus of Cappadocia,De causis et signis acutorum morborum libri duo
+0050-01/+0100-12,tlg0719.tlg003,Aretaeus of Cappadocia,De curatione acutorum morborum libri duo
+0050-01/+0100-12,tlg0719.tlg004,Aretaeus of Cappadocia,De curatione diuturnorum morborum libri duo
+0050-01/+0110-12,tlg0031.tlg026,Bible,Epistula Iuda
+0050-01/+0125-12,tlg0557.tlg004,Epictetus,Gnomologium Epicteteum (e Stobaei libris 1-2)
+0050-01/+0125-12,tlg0557.tlg005,Epictetus,Gnomologium Epicteteum (e Stobaei libris 3‑4)
+0050-01/+0135-12,tlg0557.tlg003,Epictetus,Fragments
+0050-01/+0150-12,tlg0358.tlg001,Nicomachus of Gerasa,Introductio arithmetica
+0050-01/+0150-12,tlg0358.tlg002,Nicomachus of Gerasa,Harmonicum enchiridion
+0050-01/+0150-12,tlg0358.tlg004,Nicomachus of Gerasa,Excerpta
+0050-01/+0150-12,tlg0358.tlg005,Nicomachus of Gerasa,Problemata arithmetica
+0050-01/+0070-12,tlg0656.tlg002,Dioscurides Pedianus,Euporista vel De simplicibus medicinis
+0050-01/+0100-12,tlg0564.tlg001,Rufus of Ephesus,De renum et vesicae affectionibus
+0052-01/+0052-12,tlg0031.tlg013,Bible,Epistula Pauli ad Thessalonicenses I
+0053-01/+0057-12,tlg0031.tlg007,Bible,Epistula Pauli ad Corinthios I
+0055-01/+0056-12,tlg0031.tlg008,Bible,Epistula Pauli ad Corinthios II
+0055-01/+0057-12,tlg0031.tlg006,Bible,Epistula Pauli ad Romanos
+0057-01/+0062-12,tlg0031.tlg018,Bible,Epistula Pauli ad Philemonem
+0060-01/+0065-12,tlg0007.tlg086,Plutarch,De fortuna Romanorum
+0060-01/+0110-12,tlg0031.tlg024,Bible,Epistula Ioannis II
+0060-01/+0110-12,tlg0031.tlg025,Bible,Epistula Ioannis III
+0060-01/+0150-12,tlg0031.tlg022,Bible,Epistula Petri II
+0062-01/+0062-12,tlg0031.tlg010,Bible,Epistula Pauli ad Ephesios
+0062-01/+0062-12,tlg0031.tlg011,Bible,Epistula Pauli ad Philippenses
+0062-01/+0062-12,tlg0031.tlg012,Bible,Epistula Pauli ad Colossenses
+0062-01/+0085-12,tlg0559.tlg001,Hero of Alexandria,Pneumatica
+0062-01/+0085-12,tlg0559.tlg002,Hero of Alexandria,De automatis
+0062-01/+0085-12,tlg0559.tlg004,Hero of Alexandria,Mechanicorum fragmenta
+0062-01/+0085-12,tlg0559.tlg005,Hero of Alexandria,Catoptrica
+0062-01/+0085-12,tlg0559.tlg006,Hero of Alexandria,Metrica
+0062-01/+0085-12,tlg0559.tlg007,Hero of Alexandria,Dioptra
+0062-01/+0085-12,tlg0559.tlg010,Hero of Alexandria,Stereometrica
+0062-01/+0085-12,tlg0559.tlg011,Hero of Alexandria,De mensuris
+0062-01/+0085-12,tlg0559.tlg012,Hero of Alexandria,Belopoeica
+0062-01/+0085-12,tlg0559.tlg014,Hero of Alexandria,Fragmenta Heroniana
+0062-01/+0085-12,tlg0559.tlg015,Hero of Alexandria,Geodaesia [Sp.]
+0062-01/+0085-12,tlg0559.tlg016,Hero of Alexandria,Liber geeponicus [Sp.]
+0063-01/+0064-12,tlg0031.tlg019,Bible,Epistula Pauli ad Hebraeos
+0068-01/+0107-12,tlg0007.tlg097,Plutarch,De fraterno amore
+0068-01/+0116-12,tlg0007.tlg063,Plutarch,Aratus
+0068-01/+0120-12,tlg0007.tlg027,Plutarch,Philopoemen
+0068-01/+0120-12,tlg0007.tlg028,Plutarch,Titus Flamininus
+0068-01/+0120-12,tlg0007.tlg029,Plutarch,Comparison of Philopoemen and Titus
+0068-01/+0120-12,tlg0007.tlg057,Plutarch,Demetrius
+0068-01/+0120-12,tlg0007.tlg058,Plutarch,Antony
+0068-01/+0120-12,tlg0007.tlg059,Plutarch,Comparison of Demetrius and Antony
+0068-01/+0120-12,tlg0007.tlg101,Plutarch,De Garrulitate
+0070-01/+0070-12,tlg0031.tlg002,Bible,Evangelium secundum Marcum
+0071-01/+0095-12,tlg0007.tlg088,Plutarch,De gloria Atheniensium
+0075-01/+0100-12,tlg0031.tlg001,Bible,Evangelium secundum Matthaeum
+0075-01/+0100-12,tlg1337.tlg003,Dorotheus of Sidon,Fragmenta alia antiqua
+0075-01/+0125-12,tlg0554.tlg001,Chariton of Aphrodisias,De Chaerea et Callirhoe
+0075-01/+0155-12,tlg0031.tlg015,Bible,Epistula Pauli ad Timotheum I
+0079-01/+0096-12,tlg0007.tlg065,Plutarch,Galba
+0079-01/+0096-12,tlg0007.tlg066,Plutarch,Otho
+0080-01/+0080-12,tlg2583.tlg001,Manetho Astrologus,Apotelesmatica
+0080-01/+0090-12,tlg0031.tlg003,Bible,Evangelium secundum Lucam
+0080-01/+0090-12,tlg0031.tlg005,Bible,Acta apostolorum
+0080-01/+0100-12,tlg0031.tlg017,Bible,Epistula Pauli ad Titum
+0080-01/+0115-12,tlg0031.tlg014,Bible,Epistula Pauli ad Thessalonicenses II
+0081-01/+0120-12,tlg0007.tlg077,Plutarch,De tuenda sanitate praecepta
+0081-01/+0120-12,tlg0007.tlg129,Plutarch,De sollertia animalium
+0085-01/+0095-12,tlg0007.tlg111,Plutarch,Consolatio Ad Uxorem
+0090-01/+0100-12,tlg0007.tlg078,Plutarch,Conjugalia Praecepta
+0090-01/+0110-12,tlg0031.tlg004,Bible,Evangelium secundum Ioannem
+0090-01/+0140-12,tlg0031.tlg016,Bible,Epistula Pauli ad Timotheum II
+0090-01/+0146-12,tlg1617.tlg001,Marcus Antonius Polemon,Declamationes
+0090-01/+0146-12,tlg2233.tlg001,Pseudo-Polemon,Physiognomonica (Epitome Adamantiana)
+0090-01/+0146-12,tlg2233.tlg002,Pseudo-Polemon,Physiognomonica
+0091-01/+0100-12,tlg0007.tlg095,Plutarch,De cohibenda ira
+0095-01/+0095-12,tlg0031.tlg027,Bible,Apocalypsis Ioannis
+0095-01/+0110-12,tlg0031.tlg023,Bible,Epistula Ioannis I
+0095-01/+0130-12,tlg0071.tlg001,Pseudo-Arrianus,"Anonymi (Arriani, ut fertur) periplus maris Erythraei"
+0096-01/+0114-12,tlg0007.tlg035,Plutarch,Cimon
+0096-01/+0114-12,tlg0007.tlg036,Plutarch,Lucullus
+0096-01/+0114-12,tlg0007.tlg037,Plutarch,Comparison of Lucullus and Cimon
+0096-01/+0114-12,tlg0007.tlg072,Plutarch,De capienda ex inimicis utilitate
+0096-01/+0114-12,tlg0007.tlg118,Plutarch,Praecepta gerendae reipublicae
+0096-01/+0116-12,tlg0007.tlg001,Plutarch,Theseus
+0096-01/+0116-12,tlg0007.tlg002,Plutarch,Romulus
+0096-01/+0116-12,tlg0007.tlg003,Plutarch,Comparison of Theseus and Romulus
+0096-01/+0116-12,tlg0007.tlg018,Plutarch,Timoleon
+0096-01/+0116-12,tlg0007.tlg019,Plutarch,Aemilius Paulus
+0096-01/+0116-12,tlg0007.tlg020,Plutarch,Comparison of Timoleon and Aemilius
+0096-01/+0116-12,tlg0007.tlg053,Plutarch,Comparison of Agis and Cleomenes and the Gracchi
+0096-01/+0116-12,tlg0007.tlg054,Plutarch,Demosthenes
+0096-01/+0116-12,tlg0007.tlg055,Plutarch,Cicero
+0096-01/+0120-12,tlg0007.tlg004,Plutarch,Lycurgus
+0096-01/+0120-12,tlg0007.tlg005,Plutarch,Numa
+0096-01/+0120-12,tlg0007.tlg006,Plutarch,Comparison of Lycurgus and Numa
+0096-01/+0120-12,tlg0007.tlg007,Plutarch,Solon
+0096-01/+0120-12,tlg0007.tlg008,Plutarch,Publicola
+0096-01/+0120-12,tlg0007.tlg009,Plutarch,Comparison of Solon and Publicola
+0096-01/+0120-12,tlg0007.tlg010,Plutarch,Themistocles
+0096-01/+0120-12,tlg0007.tlg011,Plutarch,Camillus
+0096-01/+0120-12,tlg0007.tlg012,Plutarch,Pericles
+0096-01/+0120-12,tlg0007.tlg013,Plutarch,Fabius Maximus
+0096-01/+0120-12,tlg0007.tlg014,Plutarch,Comparison of Pericles and Fabius Maximus
+0096-01/+0120-12,tlg0007.tlg015,Plutarch,Alcibiades
+0096-01/+0120-12,tlg0007.tlg016,Plutarch,Caius Marcius Coriolanus
+0096-01/+0120-12,tlg0007.tlg017,Plutarch,Comparison of Alcibiades and Coriolanus
+0096-01/+0120-12,tlg0007.tlg021,Plutarch,Pelopidas
+0096-01/+0120-12,tlg0007.tlg022,Plutarch,Marcellus
+0096-01/+0120-12,tlg0007.tlg023,Plutarch,Comparison of Pelopidas and Marcellus
+0096-01/+0120-12,tlg0007.tlg024,Plutarch,Aristides
+0096-01/+0120-12,tlg0007.tlg025,Plutarch,Marcus Cato
+0096-01/+0120-12,tlg0007.tlg026,Plutarch,Comparison of Aristides and Marcus Cato
+0096-01/+0120-12,tlg0007.tlg030,Plutarch,Pyrrhus
+0096-01/+0120-12,tlg0007.tlg031,Plutarch,Caius Marius
+0096-01/+0120-12,tlg0007.tlg038,Plutarch,Nicias
+0096-01/+0120-12,tlg0007.tlg039,Plutarch,Crassus
+0096-01/+0120-12,tlg0007.tlg040,Plutarch,Comparison of Nicias and Crassus
+0096-01/+0120-12,tlg0007.tlg041,Plutarch,Eumenes
+0096-01/+0120-12,tlg0007.tlg042,Plutarch,Sertorius
+0096-01/+0120-12,tlg0007.tlg043,Plutarch,Comparison of Sertorius and Eumenes
+0096-01/+0120-12,tlg0007.tlg044,Plutarch,Agesilaus
+0096-01/+0120-12,tlg0007.tlg045,Plutarch,Pompey
+0096-01/+0120-12,tlg0007.tlg046,Plutarch,Comparison of Agesilaus and Pompey
+0096-01/+0120-12,tlg0007.tlg047,Plutarch,Alexander
+0096-01/+0120-12,tlg0007.tlg048,Plutarch,Caesar
+0096-01/+0120-12,tlg0007.tlg049,Plutarch,Phocion
+0096-01/+0120-12,tlg0007.tlg050,Plutarch,Cato the Younger
+0096-01/+0120-12,tlg0007.tlg056,Plutarch,Comparison of Demosthenes and Cicero
+0096-01/+0120-12,tlg0007.tlg064,Plutarch,Artaxerxes
+0096-01/+0120-12,tlg0007.tlg067,Plutarch,De liberis educandis
+0096-01/+0120-12,tlg0007.tlg068,Plutarch,Quomodo adolescens poetas audire debeat
+0096-01/+0120-12,tlg0007.tlg069,Plutarch,De recta ratione audiendi
+0096-01/+0120-12,tlg0007.tlg070,Plutarch,Quomodo adulator ab amico internoscatur
+0096-01/+0120-12,tlg0007.tlg071,Plutarch,Quomodo quis suos in virtute sentiat profectus
+0096-01/+0120-12,tlg0007.tlg073,Plutarch,De amicorum multitudine
+0096-01/+0120-12,tlg0007.tlg074,Plutarch,De fortuna
+0096-01/+0120-12,tlg0007.tlg075,Plutarch,De virtute et vitio
+0096-01/+0120-12,tlg0007.tlg076,Plutarch,Consolatio ad Apollonium
+0096-01/+0120-12,tlg0007.tlg079,Plutarch,Septem sapientium convivium
+0096-01/+0120-12,tlg0007.tlg080,Plutarch,De Superstitione
+0096-01/+0120-12,tlg0007.tlg081,Plutarch,Regum et imperatorum apophthegmata
+0096-01/+0120-12,tlg0007.tlg082,Plutarch,Apophthegmata Laconica
+0096-01/+0120-12,tlg0007.tlg082a,Plutarch,Instituta Laconia
+0096-01/+0120-12,tlg0007.tlg082b,Plutarch,Lacaenarum Apophthegmata
+0096-01/+0120-12,tlg0007.tlg084b,Plutarch,Quaestiones Graecae
+0096-01/+0120-12,tlg0007.tlg085,Plutarch,Parallela minora
+0096-01/+0120-12,tlg0007.tlg087,Plutarch,De Alexandri magni fortuna aut virtute
+0096-01/+0120-12,tlg0007.tlg090,Plutarch,De E apud Delphos
+0096-01/+0120-12,tlg0007.tlg091,Plutarch,De Pythiae oraculis
+0096-01/+0120-12,tlg0007.tlg092,Plutarch,De Defectu Oraculorum
+0096-01/+0120-12,tlg0007.tlg094,Plutarch,De Virtute Morali
+0096-01/+0120-12,tlg0007.tlg102,Plutarch,De curiositate
+0096-01/+0120-12,tlg0007.tlg104,Plutarch,De Vitioso Pudore
+0096-01/+0120-12,tlg0007.tlg110,Plutarch,De exilio
+0096-01/+0120-12,tlg0007.tlg113,Plutarch,Amatorius
+0096-01/+0120-12,tlg0007.tlg114,Plutarch,Amatoriae Narrationes
+0096-01/+0120-12,tlg0007.tlg115,Plutarch,Maxime Cum Principibus Viris Philosopho Esse Disserendum
+0096-01/+0120-12,tlg0007.tlg116,Plutarch,Ad principem ineruditum
+0096-01/+0120-12,tlg0007.tlg117,Plutarch,An seni respublica gerenda sit
+0096-01/+0120-12,tlg0007.tlg119,Plutarch,"De unius in republica dominatione, populari statu, et paucorum imperio"
+0096-01/+0120-12,tlg0007.tlg120,Plutarch,De vitando aere alieno
+0096-01/+0120-12,tlg0007.tlg121,Plutarch,Vitae decem oratorum
+0096-01/+0120-12,tlg0007.tlg122,Plutarch,Comparationis Aristophanis et Menandri compendium
+0096-01/+0120-12,tlg0007.tlg123,Plutarch,De Heroditi malignate
+0096-01/+0120-12,tlg0007.tlg125,Plutarch,Quaestiones Naturales
+0096-01/+0120-12,tlg0007.tlg126,Plutarch,De Facie Quae in orbe Lunae Apparet
+0096-01/+0120-12,tlg0007.tlg128,Plutarch,Aquane an ignis sit utilior
+0096-01/+0120-12,tlg0007.tlg130,Plutarch,Bruta animalia ratione uti
+0096-01/+0120-12,tlg0007.tlg133,Plutarch,Platonicae quaestiones
+0096-01/+0120-12,tlg0007.tlg134,Plutarch,De animae procreatione in Timaeo
+0096-01/+0120-12,tlg0007.tlg135,Plutarch,Epitome libri de animae procreatione in Timaeo
+0096-01/+0120-12,tlg0007.tlg136,Plutarch,De Stoicorum repugnantiis
+0096-01/+0120-12,tlg0007.tlg137,Plutarch,Compendium argumenti Stoicos absurdiora poetis dicere
+0096-01/+0120-12,tlg0007.tlg138,Plutarch,De communibus notitiis adversus Stoicos
+0096-01/+0125-12,tlg0007.tlg093,Plutarch,An Virtus Doceri Possit
+0096-01/+0125-12,tlg0007.tlg098,Plutarch,De Amore Prolis
+0096-01/+0125-12,tlg0007.tlg099,Plutarch,An vitiositas ad infelicitatem sufficia
+0096-01/+0125-12,tlg0007.tlg100,Plutarch,Animine an corporis affectiones sint peiores
+0096-01/+0125-12,tlg0007.tlg103,Plutarch,De Cupiditate Divitiarum
+0096-01/+0125-12,tlg0007.tlg105,Plutarch,De Invidia et Odio
+0096-01/+0125-12,tlg0007.tlg106,Plutarch,De Se Ipsum Citra Invidiam Laudando
+0096-01/+0125-12,tlg0007.tlg107,Plutarch,De Sera Numinis Vindicta
+0096-01/+0125-12,tlg0007.tlg108,Plutarch,De Fato
+0096-01/+0125-12,tlg0007.tlg109,Plutarch,De Genio Socratis
+0096-01/+0125-12,tlg0007.tlg131,Plutarch,De esu carnium I
+0096-01/+0125-12,tlg0007.tlg132,Plutarch,De esu carnium II
+0096-01/+0125-12,tlg0007.tlg139,Plutarch,Non Posse Suaviter Vivi Secundum Epicurum
+0096-01/+0125-12,tlg0007.tlg140,Plutarch,Adversus Coloten
+0096-01/+0125-12,tlg0007.tlg141,Plutarch,An Recte Dictum Sit Latenter Esse Vivendum
+0096-01/+0116-12,tlg0007.tlg051,Plutarch,Agis and Cleomenes
+0096-01/+0116-12,tlg0007.tlg052,Plutarch,Tiberius and Caius Gracchus
+0096-01/+0125-12,tlg0007.tlg146,Plutarch,Παροιμίαι αἷς Ἀλεξανδρεῖς ἐχρῶντο
+0096-01/+0125-12,tlg0007.tlg147,Plutarch,Ἐκλογὴ περὶ τῶν ἀδυνάτων
+0098-01/+0138-12,tlg0565.tlg001,Soranus,Gynaeciorum Libri IV
+0098-01/+0138-12,tlg0565.tlg002,Soranus,De signis Fracturarum
+0098-01/+0138-12,tlg0565.tlg003,Soranus,De Fasciis
+0098-01/+0138-12,tlg0565.tlg004,Soranus,Vita Hippocratis
+0099-01/+0116-12,tlg0007.tlg112,Plutarch,Quaestiones Convivales
+0099-01/+0120-12,tlg0007.tlg060,Plutarch,Dion
+0099-01/+0120-12,tlg0007.tlg061,Plutarch,Brutus
+0099-01/+0120-12,tlg0007.tlg062,Plutarch,Comparison of Dion and Brutus
+0100-01/+0100-12,tlg0084.tlg001,Dionysius Periegetes,Orbis Descriptio
+0100-01/+0100-12,tlg4174.tlg001,Paraphrases in Dioynsium Periegetam,Paraphrases in Dioynsium Periegetam
+0100-01/+0100-12,tlg5019.tlg001,Scholia in Dionysium Periegetam,Scholia in Dionysii Byzantii per Bosporum navigationem (scholia vetera)
+0100-01/+0100-12,tlg5019.tlg002,Scholia in Dionysium Periegetam,Scholia in Dionysii Periegetae orbis descriptionem (scholia vetera)
+0100-01/+0170-12,tlg0363.tlg007,Claudius Ptolemaeus,Apotelesmatica (= Tetrabiblos)
+0100-01/+0170-12,tlg0363.tlg011,Claudius Ptolemaeus,Musica
+0100-01/+0400-12,tlg0045.tlg001,Artaxerxis Epistulae,Epistulae
+0101-01/+0150-12,tlg0082.tlg001,Apollonius Dyscolus,De pronominibus
+0101-01/+0150-12,tlg0082.tlg002,Apollonius Dyscolus,De adverbiis
+0101-01/+0150-12,tlg0082.tlg003,Apollonius Dyscolus,De Conjuctionibus
+0101-01/+0150-12,tlg0082.tlg004,Apollonius Dyscolus,De constructione
+0101-01/+0200-12,tlg0087.tlg004,Aelius Herodianus,Περὶ διχρόνων
+0101-01/+0200-12,tlg0094.tlg001,Pseudo-Plutarch,De Fluviis
+0101-01/+0200-12,tlg0094.tlg002,Pseudo-Plutarch,De musica
+0101-01/+0200-12,tlg0094.tlg003,Pseudo-Plutarch,Placita Philosophorum
+0101-01/+0200-12,tlg0532.tlg001,Achilles Tatius,Leucippe and Clitophon
+0101-01/+0200-12,tlg0548.tlg001,Apollodorus,Library
+0101-01/+0200-12,tlg0548.tlg002,Apollodorus,Epitome
+0101-01/+0200-12,tlg0551.tlg002,Appianus of Alexandria,Kings
+0101-01/+0200-12,tlg0551.tlg003,Appianus of Alexandria,Italy
+0101-01/+0200-12,tlg0551.tlg004,Appianus of Alexandria,Samnite History
+0101-01/+0200-12,tlg0551.tlg005,Appianus of Alexandria,Gallic History
+0101-01/+0200-12,tlg0551.tlg006,Appianus of Alexandria,Sicily and the Other Islands
+0101-01/+0200-12,tlg0551.tlg007,Appianus of Alexandria,Wars in Spain
+0101-01/+0200-12,tlg0551.tlg008,Appianus of Alexandria,Hannibalic War
+0101-01/+0200-12,tlg0551.tlg009,Appianus of Alexandria,Punic Wars
+0101-01/+0200-12,tlg0551.tlg010,Appianus of Alexandria,Numidian Affairs
+0101-01/+0200-12,tlg0551.tlg011,Appianus of Alexandria,Macedonian Affairs
+0101-01/+0200-12,tlg0551.tlg012,Appianus of Alexandria,Illyrian Wars
+0101-01/+0200-12,tlg0551.tlg013,Appianus of Alexandria,Syrian Wars
+0101-01/+0200-12,tlg0551.tlg014,Appianus of Alexandria,Mithridatic Wars
+0101-01/+0200-12,tlg0551.tlg017,Appianus of Alexandria,Civil Wars
+0101-01/+0200-12,tlg0553.tlg001,Artemidorus,Ονειροκριτικά
+0101-01/+0200-12,tlg0606.tlg001,Rufus Soph.,Ars rhetorica
+0101-01/+0200-12,tlg0614.tlg001,Babrius,Fabulae Aesopeae
+0101-01/+0200-12,tlg0616.tlg001,Polyaenus Macedo,Strategemata
+0101-01/+0200-12,tlg0641.tlg001,Xenophon of Ephesus,Ephesiaca
+0101-01/+0200-12,tlg0719.tlg002,Aretaeus of Cappadocia,De causis et signis diuturnorum morborum libri duo
+0101-01/+0200-12,tlg1389.tlg001,Harpocration,Lexicon in decem oratores Atticos
+0101-01/+0200-12,tlg1419.tlg001,Hermas,Pastor
+0101-01/+0200-12,tlg1419.tlg001,Hermas,The Shepherd of Hermas
+0101-01/+0200-12,tlg1484.tlg001,Martyrium Polycarpi,Martyrium Polycarpi
+0101-01/+0200-12,tlg1622.tlg001,Polycarp,Epistula ad Philippenses
+0101-01/+0300-12,tlg0561.tlg001,Longus,Daphnis and Chloe
+0101-01/+0300-12,tlg1126.tlg003,"Anubion, Poeta Astrologus",Fragmenta
+0101-01/+0300-12,tlg1286.tlg001,Hermetica,Poimandres
+0101-01/+0300-12,tlg1286.tlg002,Hermetica,Dialogus (sine titulo)
+0101-01/+0300-12,tlg1286.tlg003,Hermetica,Hieros logos
+0101-01/+0300-12,tlg1286.tlg004,Hermetica,Πρὸς Τάτ ὁ κρατήρ ἡ μονάς
+0101-01/+0300-12,tlg1286.tlg005,Hermetica,Πρὸς Τὰτ υἱόν ὅτι ἀφανὴς θεὸς φανερώτατός ἐστιν
+0101-01/+0300-12,tlg1286.tlg006,Hermetica,"Ὅτι ἐν μόνῳ τῷ θεῷ τὸ ἀγαθόν ἐστιν, ἀλλαχόθι δὲ οὐδαμοῦ"
+0101-01/+0300-12,tlg1286.tlg007,Hermetica,Ὅτι μέγιστον κακὸν ἐν ἀνθρώποις ἡ περὶ τοῦ θεοῦ ἀγνωσία
+0101-01/+0300-12,tlg1286.tlg008,Hermetica,"Ὅτι οὐδὲν τῶν ὄντων ἀπόλλυται, ἀλλὰ τὰς μεταβολὰς ἀπωλείας καὶ θανάτους πλανώμενοι λέγουσιν"
+0101-01/+0300-12,tlg1286.tlg009,Hermetica,"Περὶ νοήσεως καὶ αἰσθήσεως. [ὅτι ἐν μόνῳ τῷ θεῷ τὸ καλὸν καὶ ἀγαθόν ἐστιν, ἀλλαχόθι δὲ οὐδαμοῦ]"
+0101-01/+0300-12,tlg1286.tlg010,Hermetica,Κλείς
+0101-01/+0300-12,tlg1286.tlg011,Hermetica,Νοῦ πρὸς Ἑρμῆν
+0101-01/+0300-12,tlg1286.tlg012,Hermetica,Περὶ νοῦ κοινοῦ πρὸς Τάτ
+0101-01/+0300-12,tlg1286.tlg013,Hermetica,Πρὸς τὸν υἱὸν Τὰτ ἐν ὄρει λόγος ἀπόκρυφος περὶ παλιγγενεσίας καὶ σιγῆς ἐπαγγελίας
+0101-01/+0200-12,ogl0001.ogl001,"Pinytus, Saint, Bishop of Knossos",De Epistola Pinyti ad Dionysium
